classes,samples,image_height,image_width,training,dense_layer_1,dense_layer_2,batch_size,learning_rate,patience,epochs,accuracy,loss,training_time_hours,training_time_minutes,training_time_seconds
3,200,224,224,0.9,1024,1024,32,0.001,5,22,0.8333,0.4404,0,4,24
3,400,224,224,0.9,1024,1024,32,0.001,5,21,0.875,0.4472,0,7,38
5,200,224,224,0.9,512,512,32,0.001,10,23,0.69,0.8378,0,8,24
5,400,224,224,0.8,1024,1024,32,0.001,5,9,0.643,1.05,0,6,20
5,400,224,224,0.9,512,512,32,0.001,10,15,0.6616,0.9888,0,11,14
5,400,224,224,0.9,1024,1024,32,0.001,5,12,0.6768,0.9007,0,8,0
5,400,224,224,0.9,1024,1024,64,0.001,5,13,0.6717,0.9075,0,8,30
5,400,224,224,0.9,2048,2048,32,0.001,5,13,0.6465,1.0916,0,8,43
10,200,224,224,0.9,1024,1024,32,0.001,10,22,0.6,1.3778,0,16,18
10,200,224,224,0.9,1024,1024,64,0.001,10,29,0.625,1.3855,0,21,11
10,200,224,224,0.8,1024,1024,64,0.001,10,17,0.5875,1.3138,0,12,9
10,200,224,224,0.8,2048,2048,32,0.001,10,20,0.59,1.2942,0,14,40
10,300,224,224,0.8,2048,2048,32,0.001,10,22,0.5900,1.2471,0,23,21
